"business","name","unit","per_unit_value","brand","category","sub_category","sub_category2","price","is_offer_enable","offer_price","featured_image","short_resolation_image","type","keywords","alert_quantity","sku","delivery_time","status","enable_stock","current_stock","description","shipping_charge","image1","image2","image3","image4","image5","image6"
"techmartbd","3D Border Frame16inch x 22inch - WBT009","Piece","1","un-categorized","home-&-lifestyle","decor","","1160","0","","3d-border-frame16inch-x-22inch-wbt009-deshibazaarbd---21-1638165811-1638165811-61a46d3314500.webp","3d-border-frame16inch-x-22inch-wbt009-deshibazaarbd---21-1638165811-1638165811-61a46d3314500.webp","","","10","","10080","active","1","100","<p>PRODUCT DETAILS<br />Colours War, has been specializing in manufacturing premium picture frames and focus on every detail of design, material and production to explore perfect products. The purpose of Colours War is to provide you with premium products at affordable value. Colours War helps you to create a sweet home for your blank wall and premium decors. Colours War modern simple style picture frames will be ideal choices for you. Choose the frames you like and exert your imagination to decorate your home freely!<br />KEY FEATURE:<br />Size : 16&Prime; x 22&Prime; inch<br />Material : Inject Media Printed, Matte Laminated and Waterproof<br />Hanging system : Magic Tap<br />Frame Border : 3D Border<br />Board : High Quality Wood with Board<br />Style : Modern<br />Decoration : Living room, Office, Dinning room&nbsp;</p>","","","","","","",""
"techmartbd","3D Border Frame16inch x 22inch - WBT010","Piece","1","un-categorized","home-&-lifestyle","decor","","1160","0","","3d-border-frame16inch-x-22inch-wbt010-deshibazaarbd---22-1638165811-1638165811-61a46d3325186.webp","3d-border-frame16inch-x-22inch-wbt010-deshibazaarbd---22-1638165811-1638165811-61a46d3325186.webp","","","10","","10080","active","1","100","<p>PRODUCT DETAILS<br />Colours War, has been specializing in manufacturing premium picture frames and focus on every detail of design, material and production to explore perfect products. The purpose of Colours War is to provide you with premium products at affordable value. Colours War helps you to create a sweet home for your blank wall and premium decors. Colours War modern simple style picture frames will be ideal choices for you. Choose the frames you like and exert your imagination to decorate your home freely!<br />KEY FEATURE:<br />Size : 16&Prime; x 22&Prime; inch<br />Material : Inject Media Printed, Matte Laminated and Waterproof<br />Hanging system : Magic Tap<br />Frame Border : 3D Border<br />Board : High Quality Wood with Board<br />Style : Modern<br />Decoration : Living room, Office, Dinning room&nbsp;</p>","","","","","","",""
"techmartbd","3D Border Frame16inch x 22inch - WBT011","Piece","1","un-categorized","home-&-lifestyle","decor","","1160","0","","3d-border-frame16inch-x-22inch-wbt011-deshibazaarbd---23-1638165811-1638165811-61a46d3334128.webp","3d-border-frame16inch-x-22inch-wbt011-deshibazaarbd---23-1638165811-1638165811-61a46d3334128.webp","","","10","","10080","active","1","100","<p>PRODUCT DETAILS<br />Colours War, has been specializing in manufacturing premium picture frames and focus on every detail of design, material and production to explore perfect products. The purpose of Colours War is to provide you with premium products at affordable value. Colours War helps you to create a sweet home for your blank wall and premium decors. Colours War modern simple style picture frames will be ideal choices for you. Choose the frames you like and exert your imagination to decorate your home freely!<br />KEY FEATURE:<br />Size : 16&Prime; x 22&Prime; inch<br />Material : Inject Media Printed, Matte Laminated and Waterproof<br />Hanging system : Magic Tap<br />Frame Border : 3D Border<br />Board : High Quality Wood with Board<br />Style : Modern<br />Decoration : Living room, Office, Dinning room&nbsp;</p>","","","","","","",""
"techmartbd","3D Border Frame16inch x 22inch - WBT012","Piece","1","un-categorized","home-&-lifestyle","decor","","1160","0","","3d-border-frame16inch-x-22inch-wbt012-deshibazaarbd---24-1638165811-1638165811-61a46d3344412.webp","3d-border-frame16inch-x-22inch-wbt012-deshibazaarbd---24-1638165811-1638165811-61a46d3344412.webp","","","10","","10080","active","1","100","<p>PRODUCT DETAILS<br />Colours War, has been specializing in manufacturing premium picture frames and focus on every detail of design, material and production to explore perfect products. The purpose of Colours War is to provide you with premium products at affordable value. Colours War helps you to create a sweet home for your blank wall and premium decors. Colours War modern simple style picture frames will be ideal choices for you. Choose the frames you like and exert your imagination to decorate your home freely!<br />KEY FEATURE:<br />Size : 16&Prime; x 22&Prime; inch<br />Material : Inject Media Printed, Matte Laminated and Waterproof<br />Hanging system : Magic Tap<br />Frame Border : 3D Border<br />Board : High Quality Wood with Board<br />Style : Modern<br />Decoration : Living room, Office, Dinning room&nbsp;</p>","","","","","","",""
"techmartbd","3D Border Frame16inch x 22inch - WBT013","Piece","1","un-categorized","home-&-lifestyle","decor","","1160","0","","3d-border-frame16inch-x-22inch-wbt013-deshibazaarbd---25-1638165811-1638165811-61a46d33557ac.webp","3d-border-frame16inch-x-22inch-wbt013-deshibazaarbd---25-1638165811-1638165811-61a46d33557ac.webp","","","10","","10080","active","1","100","<p>PRODUCT DETAILS<br />Colours War, has been specializing in manufacturing premium picture frames and focus on every detail of design, material and production to explore perfect products. The purpose of Colours War is to provide you with premium products at affordable value. Colours War helps you to create a sweet home for your blank wall and premium decors. Colours War modern simple style picture frames will be ideal choices for you. Choose the frames you like and exert your imagination to decorate your home freely!<br />KEY FEATURE:<br />Size : 16&Prime; x 22&Prime; inch<br />Material : Inject Media Printed, Matte Laminated and Waterproof<br />Hanging system : Magic Tap<br />Frame Border : 3D Border<br />Board : High Quality Wood with Board<br />Style : Modern<br />Decoration : Living room, Office, Dinning room&nbsp;</p>","","","","","","",""
"techmartbd","3D Border Frame16inch x 22inch - WBT014","Piece","1","un-categorized","home-&-lifestyle","decor","","1160","0","","3d-border-frame16inch-x-22inch-wbt014-deshibazaarbd---26-1638165811-1638165811-61a46d3366186.webp","3d-border-frame16inch-x-22inch-wbt014-deshibazaarbd---26-1638165811-1638165811-61a46d3366186.webp","","","10","","10080","active","1","100","<p>PRODUCT DETAILS<br />Colours War, has been specializing in manufacturing premium picture frames and focus on every detail of design, material and production to explore perfect products. The purpose of Colours War is to provide you with premium products at affordable value. Colours War helps you to create a sweet home for your blank wall and premium decors. Colours War modern simple style picture frames will be ideal choices for you. Choose the frames you like and exert your imagination to decorate your home freely!<br />KEY FEATURE:<br />Size : 16&Prime; x 22&Prime; inch<br />Material : Inject Media Printed, Matte Laminated and Waterproof<br />Hanging system : Magic Tap<br />Frame Border : 3D Border<br />Board : High Quality Wood with Board<br />Style : Modern<br />Decoration : Living room, Office, Dinning room&nbsp;</p>","","","","","","",""
"techmartbd","3D Border Frame16inch x 22inch - WBT015","Piece","1","un-categorized","home-&-lifestyle","decor","","1160","0","","3d-border-frame16inch-x-22inch-wbt015-deshibazaarbd---27-1638165811-1638165811-61a46d3375795.webp","3d-border-frame16inch-x-22inch-wbt015-deshibazaarbd---27-1638165811-1638165811-61a46d3375795.webp","","","10","","10080","active","1","100","<p>PRODUCT DETAILS<br />Colours War, has been specializing in manufacturing premium picture frames and focus on every detail of design, material and production to explore perfect products. The purpose of Colours War is to provide you with premium products at affordable value. Colours War helps you to create a sweet home for your blank wall and premium decors. Colours War modern simple style picture frames will be ideal choices for you. Choose the frames you like and exert your imagination to decorate your home freely!<br />KEY FEATURE:<br />Size : 16&Prime; x 22&Prime; inch<br />Material : Inject Media Printed, Matte Laminated and Waterproof<br />Hanging system : Magic Tap<br />Frame Border : 3D Border<br />Board : High Quality Wood with Board<br />Style : Modern<br />Decoration : Living room, Office, Dinning room&nbsp;</p>","","","","","","",""
"techmartbd","3D Border Frame16inch x 22inch - WBT016","Piece","1","un-categorized","home-&-lifestyle","decor","","1160","0","","3d-border-frame16inch-x-22inch-wbt016-deshibazaarbd---28-1638165811-1638165811-61a46d338676b.webp","3d-border-frame16inch-x-22inch-wbt016-deshibazaarbd---28-1638165811-1638165811-61a46d338676b.webp","","","10","","10080","active","1","100","<p>PRODUCT DETAILS<br />Colours War, has been specializing in manufacturing premium picture frames and focus on every detail of design, material and production to explore perfect products. The purpose of Colours War is to provide you with premium products at affordable value. Colours War helps you to create a sweet home for your blank wall and premium decors. Colours War modern simple style picture frames will be ideal choices for you. Choose the frames you like and exert your imagination to decorate your home freely!<br />KEY FEATURE:<br />Size : 16&Prime; x 22&Prime; inch<br />Material : Inject Media Printed, Matte Laminated and Waterproof<br />Hanging system : Magic Tap<br />Frame Border : 3D Border<br />Board : High Quality Wood with Board<br />Style : Modern<br />Decoration : Living room, Office, Dinning room&nbsp;</p>","","","","","","",""
"techmartbd","3D Border Frame16inch x 22inch - WBT017","Piece","1","un-categorized","home-&-lifestyle","decor","","1160","0","","3d-border-frame16inch-x-22inch-wbt017-deshibazaarbd---29-1638165811-1638165811-61a46d339796a.webp","3d-border-frame16inch-x-22inch-wbt017-deshibazaarbd---29-1638165811-1638165811-61a46d339796a.webp","","","10","","10080","active","1","100","<p>PRODUCT DETAILS<br />Colours War, has been specializing in manufacturing premium picture frames and focus on every detail of design, material and production to explore perfect products. The purpose of Colours War is to provide you with premium products at affordable value. Colours War helps you to create a sweet home for your blank wall and premium decors. Colours War modern simple style picture frames will be ideal choices for you. Choose the frames you like and exert your imagination to decorate your home freely!<br />KEY FEATURE:<br />Size : 16&Prime; x 22&Prime; inch<br />Material : Inject Media Printed, Matte Laminated and Waterproof<br />Hanging system : Magic Tap<br />Frame Border : 3D Border<br />Board : High Quality Wood with Board<br />Style : Modern<br />Decoration : Living room, Office, Dinning room&nbsp;</p>","","","","","","",""
"techmartbd","3D Border Frame16inch x 22inch - WBT018","Piece","1","un-categorized","home-&-lifestyle","decor","","1160","0","","3d-border-frame16inch-x-22inch-wbt018-deshibazaarbd---30-1638165811-1638165811-61a46d33a80d6.webp","3d-border-frame16inch-x-22inch-wbt018-deshibazaarbd---30-1638165811-1638165811-61a46d33a80d6.webp","","","10","","10080","active","1","100","<p>PRODUCT DETAILS<br />Colours War, has been specializing in manufacturing premium picture frames and focus on every detail of design, material and production to explore perfect products. The purpose of Colours War is to provide you with premium products at affordable value. Colours War helps you to create a sweet home for your blank wall and premium decors. Colours War modern simple style picture frames will be ideal choices for you. Choose the frames you like and exert your imagination to decorate your home freely!<br />KEY FEATURE:<br />Size : 16&Prime; x 22&Prime; inch<br />Material : Inject Media Printed, Matte Laminated and Waterproof<br />Hanging system : Magic Tap<br />Frame Border : 3D Border<br />Board : High Quality Wood with Board<br />Style : Modern<br />Decoration : Living room, Office, Dinning room&nbsp;</p>","","","","","","",""
