"Product_Name","Image_Name","required_issue","business","unit","brand","category","sub_category","price"
"Radhuni Meat Curry Masala-20gm","not found","0","0","0","0","0","0","0"
"Ruchi Chanachur - Hot-20gm","not found","0","0","0","0","0","0","0"
"Ruchi Chanachur - Hot-35gm","not found","0","0","0","0","0","0","0"
"Ruchi Chanachur - Hot-65gm","not found","0","0","0","0","0","0","0"
"Ruchi Pickle - Alubukhara-200 gm","not found","0","0","0","0","0","0","0"
"Chashi Aromatic Chinigura Rice-1 Kg","not found","0","0","0","0","0","0","0"
