"Product_Name","Image_Name","required_issue","business","unit","brand","category","sub_category","price"
"Molfix Twin New Born Belt 2-5 kg 44","none","1","0","0","0","1","0","0"
"Molfix Jumbo Mini Belt 3-6 kg 80","none","1","0","0","0","1","0","0"
"Molfix Jumbo Midi Belt 4-9 kg 68","none","1","0","0","0","1","0","0"
"Molfix Twin Midi Belt 4-9 kg 46","none","1","0","0","0","1","0","0"
"Molfix Super Advanced Pants Midi 6-11 kg 94","none","1","0","0","0","1","0","0"
"Molfix Jumbo Pants Midi 6-11 kg 60","none","1","0","0","0","1","0","0"
"Molfix Twin Pants Midi 6-11 kg 26","none","1","0","0","0","1","0","0"
"Molfix Giant Maxi Belt 7-14 kg 80","none","1","0","0","0","1","0","0"
"Molfix Twin Maxi Belt 7-14 kg 40","none","1","0","0","0","1","0","0"
"Molfix Super Advanced Pants Maxi 9-14 kg 76","none","1","0","0","0","1","0","0"
"Molfix Jumbo Pants Maxi 9-14 kg 52","none","1","0","0","0","1","0","0"
"Molfix Twin Pants Maxi 9-14 kg 24","none","1","0","0","0","1","0","0"
"Molfix Twin Maxi Plus Belt 9-16 kg 36","none","1","0","0","0","1","0","0"
"Molfix Giant Junior Belt 11-25 kg 58","none","1","0","0","0","1","0","0"
"Molfix Jumbo Junior Belt 11-18 kg 44","none","1","0","0","0","1","0","0"
"Molfix Twin Junior Belt 11-18 kg 30","none","1","0","0","0","1","0","0"
"Molfix Super Advanced Pants Junior 12-17 kg 60","none","1","0","0","0","1","0","0"
"Molfix Jumbo Pants Junior 12-17 kg 48","none","1","0","0","0","1","0","0"
"Molfix Twin Pants Junior 12-17 kg 22","none","1","0","0","0","1","0","0"
"Molfix Jumbo XL Belt 15+ kg 36","none","1","0","0","0","1","0","0"
"Molfix Super Advanced Pants XL 15+ kg 50","none","1","0","0","0","1","0","0"
"Molfix Jumbo Pants XL 15-22 kg 42","none","1","0","0","0","1","0","0"
"Molfix Twin Pants XL 15-22 kg 19","none","1","0","0","0","1","0","0"
"Molfix Super Advanced Pants XXL 19+ kg 36","none","1","0","0","0","1","0","0"
"Molfix Wet Wipes with Lids 60","none","1","0","0","0","1","0","0"
"Molfix Premium Molfix Pure & Soft Belt 2-5 kg 66","none","1","0","0","0","1","0","0"
"Molfix Premium Molfix Pure & Soft Belt 3-6 kg 64","none","1","0","0","0","1","0","0"
"Molfix Premium Molfix Pure & Soft Belt 4-9 kg 46","none","1","0","0","0","1","0","0"
"Molfix Premium Molfix Pure & Soft Belt 7-14 kg 44","none","1","0","0","0","1","0","0"
"Molfix Premium Molfix Pure & Soft Belt 11-18 kg 38","none","1","0","0","0","1","0","0"
"Joly Adult Extra Large 30","none","1","0","0","0","1","0","0"
"Joly Adult Extra Large 8","none","1","0","0","0","1","0","0"
"Joly Adult Large 30","none","1","0","0","0","1","0","0"
"Joly Adult Large 8","none","1","0","0","0","1","0","0"
"Joly Adult Medium 30","none","1","0","0","0","1","0","0"
"Joly Adult Medium 10","none","1","0","0","0","1","0","0"
"Joly Adult Pants Large 8","none","1","0","0","0","1","0","0"
"Joly Adult Pants Medium 10","none","1","0","0","0","1","0","0"
"Evony Adult Extra Large 30","none","1","0","0","0","1","0","0"
"Evony Adult Extra Large 8","none","1","0","0","0","1","0","0"
"Evony Adult Large 30","none","1","0","0","0","1","0","0"
"Evony Adult Large 8","none","1","0","0","0","1","0","0"
"Evony Adult Medium 10","none","1","0","0","0","1","0","0"
"Evony Adult Medium 30","none","1","0","0","0","1","0","0"
"Samsung top loading Washing Machine WA13T5260BW-ST 13 kg","none","1","0","0","0","1","0","0"
"Samsung Top Load Washing Machine WA10T5260BY-ST 10 KG","none","1","0","0","0","1","0","0"
"LG Top Load Washing Machine T2310VS2B 10 kg","none","1","0","0","0","1","0","0"
"LG Top loading washing machine T2312VS2M","none","1","0","0","0","1","0","0"
"Hitachi Washing Machine SF-80XB 8kg","none","1","0","0","0","1","0","0"
"Hitachi washing machine SF-130TCV 13kg","none","1","0","0","0","1","0","0"
"Hitachi Top Loading Washing Machine  SF-140TE SL 14kg","none","1","0","0","0","1","0","0"
"Philips Daily Collection Toaster HD2581","none","1","0","0","0","1","0","0"
"SHARP Sandwich Maker 700 W Model KZS-70W","none","1","0","0","0","1","0","0"
"Mum-Drinking Water 330ml","none","1","0","0","0","1","0","0"
"Mum-Drinking Water 500ml","none","1","0","0","0","1","0","0"
"Mum-Drinking Water 1 Ltr","none","1","0","0","0","1","0","0"
"Mum-Drinking Water 1.5 Ltr","none","1","0","0","0","1","0","0"
"Mum-Drinking Water 2 Ltr","none","1","0","0","0","1","0","0"
"Mum-Drinking Water 4.5 Ltr","none","1","0","0","0","1","0","0"
"Mum-Drinking Water 5 Ltr","none","1","0","0","0","1","0","0"
"Jeera Pani 250ml","none","1","0","0","0","1","0","0"
"Big Boss 250ml","none","1","0","0","0","1","0","0"
"RC Cola 250ml","none","1","0","0","0","1","0","0"
"RC Upper - 10 250ml","none","1","0","0","0","1","0","0"
"RC Orenge 250ml","none","1","0","0","0","1","0","0"
"RC Lemon 330ml","none","1","0","0","0","1","0","0"
"RC Orange 330ml","none","1","0","0","0","1","0","0"
"RC Cola 500ml","none","1","0","0","0","1","0","0"
"RC Orenge 500ml","none","1","0","0","0","1","0","0"
"RC Cola 1 Ltr","none","1","0","0","0","1","0","0"
