"Product_Name","Image_Name","required_issue","un_business","un_vendor_price","un_unit","un_brand","un_category","un_sub_category","un_price","business","name","unit","per_unit_value","brand","category","sub_category","sub_category2","vendor_price","price","is_offer_enable","offer_price","featured_image","short_resolation_image","type","keywords","alert_quantity","slug","sku","delivery_time","status","enable_stock","current_stock","description","shipping_charge","image1","image2","image3","image4","image5","image6"
"Huawei MatePad T10 (4GLTE)","not found","0","0","0","0","0","0","0","0","smarttechnologies(bd)ltd.","Huawei MatePad T10 (4GLTE)","Piece","1","huawei","electronics","mobile-and-gadgets","",,"20999","0","","","","","","5",,"","10080","active","1","100","","","","","","","",""
"Huawei MatePad 10.4 (Wifi)","not found","0","0","0","0","0","0","0","0","smarttechnologies(bd)ltd.","Huawei MatePad 10.4 (Wifi)","Piece","1","huawei","electronics","mobile-and-gadgets","",,"31999","0","","","","","","5",,"","10080","active","1","100","","","","","","","",""
"Huawei Band A2","not found","0","0","0","0","0","0","0","0","smarttechnologies(bd)ltd.","Huawei Band A2","Piece","1","huawei","electronics","mobile-and-gadgets","",,"2599","0","","","","","","5",,"","10080","active","1","100","","","","","","","",""
"Huawei Band 2","not found","0","0","0","0","0","0","0","0","smarttechnologies(bd)ltd.","Huawei Band 2","Piece","1","huawei","electronics","mobile-and-gadgets","",,"1599","0","","","","","","5",,"","10080","active","1","100","","","","","","","",""
"Huawei Watch GT-2","not found","0","0","0","0","0","0","0","0","smarttechnologies(bd)ltd.","Huawei Watch GT-2","Piece","1","huawei","electronic-accessori","wearable","",,"16999","0","","","","","","5",,"","10080","active","1","100","","","","","","","",""
"Huawei Watch GT2 42mm","not found","0","0","0","0","0","0","0","0","smarttechnologies(bd)ltd.","Huawei Watch GT2 42mm","Piece","1","huawei","electronic-accessori","wearable","",,"15999","0","","","","","","5",,"","10080","active","1","100","","","","","","","",""
"Huawei Watch GT2e 46mm","not found","0","0","0","0","0","0","0","0","smarttechnologies(bd)ltd.","Huawei Watch GT2e 46mm","Piece","1","huawei","electronic-accessori","wearable","",,"12499","0","","","","","","5",,"","10080","active","1","100","","","","","","","",""
"Huawei Watch GT","not found","0","0","0","0","0","0","0","0","smarttechnologies(bd)ltd.","Huawei Watch GT","Piece","1","huawei","electronic-accessori","wearable","",,"8999","0","","","","","","5",,"","10080","active","1","100","","","","","","","",""
"Huawei Watch Fit","not found","0","0","0","0","0","0","0","0","smarttechnologies(bd)ltd.","Huawei Watch Fit","Piece","1","huawei","electronic-accessori","wearable","",,"9999","0","","","","","","5",,"","10080","active","1","100","","","","","","","",""
"Huawei GT2-Latona Strap","not found","0","0","0","0","0","0","0","0","smarttechnologies(bd)ltd.","Huawei GT2-Latona Strap","Piece","1","huawei","electronic-accessori","wearable","",,"1999","0","","","","","","5",,"","10080","active","1","100","","","","","","","",""
