"Product_Name","Image_Name","required_issue","business","unit","brand","category","sub_category","price"
"Pasta Rina Chifferini Regate  500 gm","not found","0","0","0","0","0","0","0"
"Delicia Snails 400gm","not found","0","0","0","0","0","0","0"
"Delicia Fusilli 400gm","not found","0","0","0","0","0","0","0"
"Delicia Elbow 400gm","not found","0","0","0","0","0","0","0"
"Verda Shell Big Pasta 400gm","not found","0","0","0","0","0","0","0"
"Donna Sofia Fusilli Pasta 200gm","not found","0","0","0","0","0","0","0"
"Discovery Peanut Batter Chunky 510 gm","not found","0","0","0","0","0","0","0"
"Discovery Peanut Batter Chunky 340 gm","not found","0","0","0","0","0","0","0"
"Luglio Extra Virgin Olive Oil 3 Ltr","not found","0","0","0","0","0","0","0"
"Luglio Skin Care Olive Oil 100 ml","not found","0","0","0","0","0","0","0"
"Discover Organic Apple Cider Vinegar 500ml","not found","0","0","0","0","0","0","0"
"Discovery Organic Raw Extra Virgin olive oil 1 Ltrhealth-care","not found","0","0","0","0","0","0","0"
