"Product_Name","Image_Name","required_issue","un_business","un_vendor_price","un_unit","un_brand","un_category","un_sub_category","un_price","business","name","unit","per_unit_value","brand","category","sub_category","sub_category2","vendor_price","price","is_offer_enable","offer_price","featured_image","short_resolation_image","type","keywords","alert_quantity","slug","sku","delivery_time","status","enable_stock","current_stock","description","shipping_charge","image1","image2","image3","image4","image5","image6"
"Wired Gaming Mouse White VX7 SPACE EDITION","none","1","0",,"0","0","1","0","0","newazenterprise","Wired Gaming Mouse White VX7 SPACE EDITION","Piece","1","fantech","","","",,"5,000.00৳","0","","","","","","3",,"","10080","active","1","10","","","","","","","",""
"Wired Mouse Pink VX7 SAKURA EDITION","none","1","0",,"0","0","1","0","0","newazenterprise","Wired Mouse Pink VX7 SAKURA EDITION","Piece","1","fantech","","","",,"1,150.00৳","0","","","","","","3",,"","10080","active","1","10","","","","","","","",""
"Wireless Mouse WG10","none","1","0",,"0","0","1","0","0","newazenterprise","Wireless Mouse WG10","Piece","1","fantech","","","",,"1,300.00৳","0","","","","","","3",,"","10080","active","1","10","","","","","","","",""
"Wireless Mouse WG10 GRAY","none","1","0",,"0","0","1","0","0","newazenterprise","Wireless Mouse WG10 GRAY","Piece","1","fantech","","","",,"1,300.00৳","0","","","","","","3",,"","10080","active","1","10","","","","","","","",""
"Wireless Mouse WG10 RED","none","1","0",,"0","0","1","0","0","newazenterprise","Wireless Mouse WG10 RED","Piece","1","fantech","","","",,"700.00৳","0","","","","","","3",,"","10080","active","1","10","","","","","","","",""
"Wireless Mouse WG11","none","1","0",,"0","0","1","0","0","newazenterprise","Wireless Mouse WG11","Piece","1","fantech","","","",,"700.00৳","0","","","","","","3",,"","10080","active","1","10","","","","","","","",""
"Wireless Mouse WG11 SPACE EDITION","none","1","0",,"0","0","1","0","0","newazenterprise","Wireless Mouse WG11 SPACE EDITION","Piece","1","fantech","","","",,"700.00৳","0","","","","","","3",,"","10080","active","1","10","","","","","","","",""
"Mouse Stan MB01","none","1","0",,"0","0","1","0","0","newazenterprise","Mouse Stan MB01","Piece","1","fantech","","","",,"1,050.00৳","0","","","","","","3",,"","10080","active","1","10","","","","","","","",""
"Mouse Stan RGB MBR01 BLACK","none","1","0",,"0","0","1","0","0","newazenterprise","Mouse Stan RGB MBR01 BLACK","Piece","1","fantech","","","",,"1,050.00৳","0","","","","","","3",,"","10080","active","1","10","","","","","","","",""
"Mouse Stan RGB MBR01 SPACE EDITION","none","1","0",,"0","0","1","0","0","newazenterprise","Mouse Stan RGB MBR01 SPACE EDITION","Piece","1","fantech","","","",,"1,350.00৳","0","","","","","","3",,"","10080","active","1","10","","","","","","","",""
"Mouse Stan RGB MBR01 SAKURA EDITION","none","1","0",,"0","0","1","0","0","newazenterprise","Mouse Stan RGB MBR01 SAKURA EDITION","Piece","1","fantech","","","",,"1,850.00৳","0","","","","","","3",,"","10080","active","1","10","","","","","","","",""
"Fantech Numpad K eyboard FTK-801","none","1","0",,"0","0","1","0","0","newazenterprise","Fantech Numpad K eyboard FTK-801","Piece","1","fantech","","","",,"1,850.00৳","0","","","","","","3",,"","10080","active","1","10","","","","","","","",""
"Fantech Multimedia Office Keyboard K210","none","1","0",,"0","0","1","0","0","newazenterprise","Fantech Multimedia Office Keyboard K210","Piece","1","fantech","","","",,"1,850.00৳","0","","","","","","3",,"","10080","active","1","10","","","","","","","",""
"Wired Keyboard Mouse Combo KM-100","none","1","0",,"0","0","1","0","0","newazenterprise","Wired Keyboard Mouse Combo KM-100","Piece","1","fantech","","","",,"450.00৳","0","","","","","","3",,"","10080","active","1","10","","","","","","","",""
"Fantech Gaming Keyboard K511","none","1","0",,"0","0","1","0","0","newazenterprise","Fantech Gaming Keyboard K511","Piece","1","fantech","","","",,"700.00৳","0","","","","","","3",,"","10080","active","1","10","","","","","","","",""
"Wired Keyboard K513","none","1","0",,"0","0","1","0","0","newazenterprise","Wired Keyboard K513","Piece","1","fantech","","","",,"780.00৳","0","","","","","","3",,"","10080","active","1","10","","","","","","","",""
"Fantech Wired Gaming Keyboard Semi MECHANICAL K612","none","1","0",,"0","0","1","0","0","newazenterprise","Fantech Wired Gaming Keyboard Semi MECHANICAL K612","Piece","1","fantech","","","",,"1,250.00৳","0","","","","","","3",,"","10080","active","1","10","","","","","","","",""
"Wired Keyboard K613","none","1","0",,"0","0","1","0","0","newazenterprise","Wired Keyboard K613","Piece","1","fantech","","","",,"2,460.00৳","0","","","","","","3",,"","10080","active","1","10","","","","","","","",""
"Wired Keyboard K613L","none","1","0",,"0","0","1","0","0","newazenterprise","Wired Keyboard K613L","Piece","1","fantech","","","",,"2,300.00৳","0","","","","","","3",,"","10080","active","1","10","","","","","","","",""
"Wired Gaming Keyboard Pink K613L SAKURA EDITION","none","1","0",,"0","0","1","0","0","newazenterprise","Wired Gaming Keyboard Pink K613L SAKURA EDITION","Piece","1","fantech","","","",,"1,700.00৳","0","","","","","","3",,"","10080","active","1","10","","","","","","","",""
"Wired Keyboard K613X","none","1","0",,"0","0","1","0","0","newazenterprise","Wired Keyboard K613X","Piece","1","fantech","","","",,"1,800.00৳","0","","","","","","3",,"","10080","active","1","10","","","","","","","",""
