"Product_Name","Image_Name","required_issue","business","unit","brand","category","sub_category","price"
"WALTON Top Load Washing machine WWM-TTM70 (Gray) 7 KG","not found","0","0","0","0","0","0","0"
"WALTON Tornado Fan WTF9S5 9Inch(Yellow)","not found","0","0","0","0","0","0","0"
"WALTON Tornado Fan WTF10S 10Inch (Blue)","not found","0","0","0","0","0","0","0"
"MARCEL Microwave Oven MMWO-M30AS3 30 Liter","not found","0","0","0","0","0","0","0"
"MARCEL Microwave Oven MMWO-M20ESK","not found","0","0","0","0","0","0","0"
