"Product_Name","Image_Name","required_issue","business","unit","brand","category","sub_category","price"
"KM-1015 Kemei 5 In 1 Electric Washable Hair Clipper & Beard Trimmer Shaving Kit","not found","0","0","0","0","0","0","0"
"Kemei KM-5031 11 In 1 Hair Clipper Shaver Nose   Ear Trimmer Grooming Kit","not found","0","0","0","0","0","0","0"
"Kemei Km-9050 Trimmer For Men & Women (Multi Color)","not found","0","0","0","0","0","0","0"
"Kemei KM-328 Professional Hair Straightener (Pink)","not found","0","0","0","0","0","0","0"
"PHILIPS HC3505 15 Trimmer For Men (Blue)","not found","0","0","0","0","0","0","0"
"PHILIPS BHH811 StyleCare Hair Muti-Styler Kit  (Hair Straightener, Hair Curler)","not found","0","0","0","0","0","0","0"
"Panasonic ER-GN30-K Washable Nose Ear Trimmer","not found","0","0","0","0","0","0","0"
"HTC AT-522 Rechargeable Runtime: 45 Min Trimmer For Men (Black)","not found","0","0","0","0","0","0","0"
