"Product_Name","Image_Name","required_issue","business","vendor_price","unit","brand","category","sub_category","price"
"Mi WiFi Router 4A AC1200 Dual Band_L","not found","0","0","0","0","0","0","0","0"
" Mi Electric Kettle1.5L
","not found","0","0","0","0","0","0","0","0"
"Amazfit T-Rex (A 1919) - Army Green","not found","0","0","0","0","0","0","0","0"
"JBL Headphone T500BT","none","1","0","1","0","0","0","0","0"
"EARPHONE JBL T205 BT (Black)","none","1","0","1","0","0","0","0","0"
"JBL SB 160 BAR","not found","0","0","0","0","0","0","0","0"
