"Product_Name","Image_Name","required_issue","business","unit","brand","category","sub_category","price"
"D47_Dark_Blue_Black","not found","0","0","0","0","0","0","0"
"D78_Black","not found","0","0","0","0","0","0","0"
"Econo Student","not found","0","0","0","0","0","0","0"
"Krispy   Hot   Fingers   Chips   
20gm","not found","0","0","0","0","0","0","0"
"GQ Aromatic Chinigura Rice 
1kg","not found","0","0","0","0","0","0","0"
"SAACHI DOUBLE DEEP FRYER NL-DF-4758. 6L","not found","0","0","0","0","0","0","0"
"SAACHI WATER DISPENSER WITH 16L REFRIGERATOR NL-WD-65R","not found","0","0","0","0","0","0","0"
"SAACHI COFFEE MAKER NL-COF-7052","not found","0","0","0","0","0","0","0"
"SAACHI COFFEE MAKER NL-COF-7051","not found","0","0","0","0","0","0","0"
"SAACHI COFFEE MAKER NL-COF-7055","not found","0","0","0","0","0","0","0"
"PHILIPS COMPACT FOOD PROCESSOR (6 IN 1) HR-7510 (800 WATT)","not found","0","0","0","0","0","0","0"
"PHILIPS HAIR DRYER - BHD006","not found","0","0","0","0","0","0","0"
"PHILIPS HAIR & NOSE TRIMER - MG3730","not found","0","0","0","0","0","0","0"
"PANASONIC HAIR DRYER - EH-NE65","not found","0","0","0","0","0","0","0"
"PANASONIC INSTANT WATER HEATER NON- JET PUMP DH-3MS1MW","not found","0","0","0","0","0","0","0"
"PHILIPS GARMENTS STEAM IRON - GC484","not found","0","0","0","0","0","0","0"
