business,name,unit,per_unit_value,brand,category,sub_category,sub_category2,price,is_offer_enable,offer_price,featured_image,short_resolation_image,type,keywords,alert_quantity,sku,delivery_time,current_stock,enable_stock,enable_stock,shipping_charge,status,description,image1,image2,image3,image4,image5,image6
nazatelectronics1,Ear Buds HT18,Piece,1,lenovo,electronic-accessori,audio,,1750,0,,,,,,10,,10080,100,100,100,,active,"<p>The Lenovo HT18 True Wireless Earbuds features&nbsp;Adopting advanced Bluetooth 5.0 technology, the wireless Bluetooth earbuds have strong anti-interference capability, faster and more stable transmission, and can realize the synchronization of game sounds and pictures with low latency. The earbuds have incredible sound quality with deep bass and clear treble, bringing you an incomparable 3D surround music experience.&nbsp;Built-in high-definition microphone, intelligent noise reduction, delivers clearer and more real talking sound in stereo mode. It features intelligent noise reduction technology, and delivers a truly unparalleled clear sound quality, bringing you an amazing wireless music experience and call clarity. The earphones will automatically turn on and pair with the last device when removed from the charging pod. The TWS Bluetooth earbuds can be used in Mono or Twin mode. earbuds are ergonomically designed, comfortable to wear and not easy to fall off in sports, and will not make you feel pain in the ears after a long time wearing. It has no warranty.</p>",,,,,,
nazatelectronics1,Smart Watch C2,Piece,1,lenovo,electronic-accessori,audio,,1990,0,,,,,,10,,10080,100,100,100,,active,"<ul class="""">
<li class="""">Made of glass fiber reinforced PC, it has ultra high strength, impact resistance, high and low temperature resistance.</li>
<li class="""">Silicone strap is skin-friendly, soft and comfortable to touch.</li>
<li class="""">Support real-time monitoring of heart rate/blood pressure/blood oxygen/sleep monitoring, real-time analysis of sleep data to score the quality of sleep.</li>
<li class="""">Clear backlight makes the figures visible in the darkness and the FSTN display also makes it clear under strong light.</li>
<li class="""">80m waterproof rating enables the watch to effectively resist water or sweat.</li>
<li class="""" data-spm-anchor-id=""a2a0e.pdp.product_detail.i0.4aeaL49zL49ziC"">Other functions: Daily step counting, sedentary reminder, world time, phone reminder, information reminder, stopwatch, etc</li>
</ul>",,,,,,
nazatelectronics1,Smart Wrist Band WD06,Piece,1,lenovo,electronic-accessori,audio,,3390,0,,,,,,10,,10080,100,100,100,,active,"<ul class="""">
<li class="""">MULTI-FUNCTIONS: Lenovo WD06 fitness Tracker has power functions, including dynamic heart rate monitor, IP67 Waterproof, Pedometer, Distance Calculator, Calories Burned Measurement, Sleep Monitor, Sedentary Reminder, SMS Content Shows and Reminding, Call Reminder, APP Message Reminder (Like Facebook, Wechat, Twitter, etc)</li>
<li class="""">HEALTHY ASSISTENT: This activity tracker can monitor your heart rate in dynamic and resting model. Intelligently identify your effective sleep time and motions( including light sleep and deep sleep). It also can remind you to stretch your body up when you sit too long</li>
<li class="""">COlOR DISPLAY and FULL TOUCH SCREEN: TFT 0.96"" screen and 160*80 screen resolution bring excellent HD image quality.You can directly check the time(12-hour or 24-hour time display) and temperature(Centigrade or Fahrenheit format) with one touch on the screen</li>
<li class="""" data-spm-anchor-id=""a2a0e.pdp.product_detail.i0.1018s8YEs8YEoV"">BUILT-IN USB PLUG: Specially designed USB plug makes it easy to charge through your PC or phone adapter ; No extra cable and dock needed. It's more convenient to get charged everywhere. Full charge gives you up to 7 days of working time. Get one and enjoy a healthier life now</li>
</ul>",,,,,,
nazatelectronics1,Smart Watch S2,Piece,1,lenovo,electronic-accessori,audio,,3990,0,,,,,,10,,10080,100,100,100,,active,"<p>Quick User Guide 1-Packing instructions: watch x1, charging cable x1, user guide x1, warranty card x1. 2-Download the app The mobile phone needs to install application support to connect with the watch. Please refer to the mobile phone system platform conditions: Android 4.4+, IOS 9.0+ 1) Scan the QR code on your phone and install the APP; you can also search for and download &ldquo;Lenovo Smart Watch&rdquo; on App Store or Google Play for installation 2) Open the app and set the personal information correctly (Affects calculation of exercise data such as distance, calories, etc.),register and bind 3-Watch activation Before using the watch, use the matching charging cable to properly connect it for charging. It takes 2 hours to fully charge. Press and hold the switch to start up. 4-Watch and APP connection 1) Turn on the phone's Bluetooth and location information; 2) After the watch turns on, press and hold the watch screen for three seconds to display the watch's Bluetooth number. 3) In the ""Personal Center"" interface of the app, click ""Add watch"" to search for Bluetooth devices, find the Bluetooth number of the watch, and click Connect. After the connection is successful, the watch will synchronize the phone time, synchronize various exercise data, and so on. 5-Unbind app Open the app, in the ""personal center"" interface, click the connected watch icon to enter the device management interface, and click ""remove device"" in the upper right corner. IPhone: After ""remove device"", go to the phone system settings-&gt; Bluetooth-&gt; click the exclamation point behind the device name-&gt; ignore this device to completely unbundle Bluetooth. 6-Basic operation button: Long press button: Boot / Shutdown; Short press button: on / off screen screen: Short press: Bright screen / confirm; Slide left, slide right, slide up, slide down: different screens can achieve different operations. 　 　　　 　　　　 　 　　　 　　　　 　 　　　 　　　　 　 　　　 　　　　 　 　　　 　　　　 　 　　　 　　　　</p>",,,,,,
nazatelectronics1,Gaming Headset HU85,Piece,1,lenovo,electronic-accessori,audio,,2190,0,,,,,,10,,10080,100,100,100,,active,"<ul class="""">
<li class="""">Brand: Lenovo</li>
<li class="""">Model: HU85</li>
<li class="""">Certification:ce</li>
<li class="""">Is wireless:No</li>
<li class="""">Wireless Type:None</li>
<li class="""">Vocalism Principle: Dynamic</li>
<li class="""">Volume Control: Yes</li>
<li class="""">Control Button: Yes</li>
<li class="""">Style: Headband</li>
<li class="""">Use: COMPUTER, Gaming, Travel</li>
<li class="""">Function: Microphone</li>
<li class="""">Place of Origin: China</li>
<li class="""">Cord Length: 2M</li>
<li class="""">Waterproof Standard: IPX-1</li>
<li class="""">Active Noise-Cancellation: No</li>
<li class="""">Key Feature1: Adjustable Headband</li>
<li class="""">Key Feature2: USB2.0</li>
<li class="""" data-spm-anchor-id=""a2a0e.pdp.product_detail.i0.60ce2k0a2k0aRj"">Sensitivity: 110 3dB</li>
</ul>",,,,,,
nazatelectronics1,Ear Buds HT05,Piece,1,lenovo,electronic-accessori,audio,,1650,0,,,,,,10,,10080,100,100,100,,active,"<p>Product Details Features:BT 5.0 brings high data transfer speed, stable connection and low power consumption. Automatically pair after taken out from the charging case.Multi-functional touch control, support switch songs, phone call, volume control and wake up voice assistant.Built-in high-definition microphone, intelligent noise reduction, delivers clearer and more real talking sound in stereo mode.40mAh battery single ear earphone, and charged automatically in the 250mAh charging case, ensuring about 4 hours working time when fully charged.Lightweight and mini size, convenient to carry; In-ear design, fit well to your ear canal and provide you long time wearing comfort.Specifications:Brand &amp; Model: Lenovo HT05BT Version: BT 5.0Drive Unit Diameter: 10mmColor: Black/White(Optional)Transmission Distance: about 10 meters (no obstacle)Frequency Range: 20-20KHzSpeaker Sensitivity: 108dBCharging Case Capacity: 3.7V 250mAhEarphone Battery Capacity: 3.7V 40mAhWorking Time: 4 hoursPackage Size: 12*8*3.2cm/4.7*3.1*1.3inPackage Weight: 82g/2.9oz</p>",,,,,,
nazatelectronics1,Headphone HD300,Piece,1,lenovo,electronic-accessori,audio,,2490,0,,,,,,10,,10080,100,100,100,,active,"<p>&bull; Brand: Lenovo<br />&bull; Model No: HD300<br />&bull; Products Type: Headphone<br />&bull; Type: On-ear<br />&bull; Material: ABS<br />&bull; Features: Active Noise-cancelling, Extra Bass<br />&bull; Wearing type: Headband<br />&bull; Main Functions : Answering Phone, Noise Cancelling<br />&bull; Application: Audiophile, Gaming, Running, Sport, Working<br />&bull; Cable Length (m): 0m<br />&bull; Compatible with: Mobile phone, Portable Media Player<br />&bull; Connectivity: Wireless<br />&bull; Bluetooth: Yes<br />&bull; Bluetooth distance: W/O obstacles 10m<br />&bull; Bluetooth Version: V5.0<br />&bull; WIFI: No<br />&bull; BT Version: V5.0<br />&bull; Operation Range: 10 Meters (no obstacle)<br />&bull; Speaker Unit: 40mm<br />&bull; Frequency Response: 20Hz-20kHz<br />&bull; Impedance: 32&Omega;<br />&bull; Sensitivity: 108&plusmn;3dB<br />&bull; Battery Capacity: 300mAh</p>",,,,,,
nazatelectronics1,Ear Buds HT28,Piece,1,lenovo,electronic-accessori,audio,,2050,0,,,,,,10,,10080,100,100,100,,active,"<p>The Lenovo HT28 TWS True Wireless Earbuds Black has 5.0 two-ear edgy calls, high-sensitive microphones, the environment can be noisy can easily talk. Bluetooth version 5.0 chip, with high response transmission speed, whether it is games, music, movies, calls can achieve smooth, no delay stable continuous line. The Lenovo HT28 TWS Earbuds comes with binaural communication and instant pairing. The Lenovo HT28 TWS Earbuds has IPX4 waterproof protection. BT 5.0 brings high data transfer speed, no latency, stable connection and low power consumption. Built-in high-definition microphone, intelligent noise reduction, delivers clearer and more real talking sound in stereo mode. Wireless dual ear design, left and right ear channel separation. You can use the headset solely, or used them in pairs. Multi-functional Touch control let you answer/reject calls, play/pause songs, wake up voice assistant, by touching these in-ear wireless headphones all without taking your smart phones out of your pocket. Auto power on and fast pairing between left and right earbuds once taking out of the charging case. Easy and quick to pair with BT-enabled audio devices. The design is exclusive and fits your ear securely, no any discomfort or pain when wearing. Graphene diaphragm speaker, HiFi sound, supports SBC professional audio decoding technology, reduces the loss in the process of music transmission, maintains pure music details, and creates a more immersive stereo sound effect.</p>",,,,,,
nazatelectronics1,Ear Buds HT38,Piece,1,lenovo,electronic-accessori,audio,,1550,0,,,,,,10,,10080,100,100,100,,active,"<ul>
<li>Comfortable Lightweight Portability,&nbsp;</li>
<li>Half in-ear,&nbsp;</li>
<li>Comfortable to wear,&nbsp;</li>
<li>Touch control,&nbsp;</li>
<li>Easy to use,&nbsp;</li>
<li>Bluetooth version: V5.0,&nbsp;</li>
<li>The battery capacity of the earbud: 30mAh,&nbsp;</li>
<li>The battery capacity of the charging case: 250mAh,&nbsp;</li>
<li>Playing time: Approximately 3 hours,&nbsp;</li>
<li>Speaker drivers: &Phi;13mm,&nbsp;</li>
<li>Speaker sensitivity: 100&plusmn;3dB (IEC711 At 1 kHz),&nbsp;</li>
<li>Frequency response range: 20-20KHz,&nbsp;</li>
<li>Distance: 10m barrier-free,&nbsp;</li>
<li>Wearing method: Half in-ear<br />&nbsp;</li>
</ul>",,,,,,
nazatelectronics1,Ear Buds QT83,Piece,1,lenovo,electronic-accessori,audio,,1950,0,,,,,,10,,10080,100,100,100,,active,"<ul class=""ulDefault"">
<li>Lenovo QT83 TWS Earbud.</li>
<li>Product Type: Earbud.</li>
<li>Brand: Lenovo.</li>
<li>Bluetooth 5.0.</li>
<li>Wireless Stereo Smart Touch Earbuds.</li>
<li>Series: QT83.</li>
<li>Style: TWS.</li>
<li>Battery: 450mAh.</li>
<li>Connection Length: About 10m / 33ft (Without Obstacle).</li>
<li>Battery Life: approx. 4 hours in use.</li>
<li>Color: Random.</li>
<li>Warranty: 1 month.</li>
</ul>",,,,,,
nazatelectronics1,Gaming Ear Buds HQ08,Piece,1,lenovo,electronic-accessori,audio,,2390,0,,,,,,10,,10080,100,100,100,,active,"<ul>
<li>Brand: Lenovo</li>
<li>Model: HQ08</li>
<li>BT version: V5.0</li>
<li>Transmission distance: 10m</li>
<li>Audio decoding: SBC/AAC</li>
<li>Battery capacity: 30mAh (earbud), 400mAh (charging case)</li>
<li>Waterproof level: IPX5</li>
<li>Earbud size: 58.32*55*34.29mm</li>
</ul>",,,,,,
nazatelectronics1,Amazfit Band 5 Smart fitness tracker with spO2 - Black,Piece,1,xiaomi,electronic-accessori,wearable,,2790,0,,,,,,10,,10080,50,50,100,,active,"<p>Body material: Polycarbonate<br />Strap material: Skin-friendly TPU<br />Strap length: 162-235mm<br />Strap width: 15.55mm<br />Waterproof rating3: 5 ATM<br />Display: 1.1"" full color AMOLED, resolution 126x294<br />Touch screen: 2.5D glass + anti-fingerprint coating<br />Bluetooth: BT5.0/BLE<br />Battery: 125mAh lithium-ion polymer battery (Typical value)<br />Charging time: About 2 hours<br />Charging method: Clip / 2-pins POGO pin<br />Battery Life: Typical usage scenario: 15 days. Power-saving scenario: 25 days. Standby time: 90 days<br />Sensors: BioTracker TM2 PPG Bio-Tracking Optical Sensor, 3-axis acceleration sensor. 3-axis gyroscope sensor<br />Supported devices: Android 5.0 or iOS 10.0 and above</p>",,,,,,
nazatelectronics1,Amazfit NEO Smart Watch -Black,Piece,1,xiaomi,electronic-accessori,wearable,,2790,0,,,,,,10,,10080,50,50,100,,active,,,,,,,
nazatelectronics1,Amazfit Bip U Smart Watch Global Version,Piece,1,xiaomi,electronic-accessori,wearable,,4890,0,,,,,,10,,10080,50,50,100,,active,"<ul>
<li>Display: 1.43&Prime; TFT 1.43&Prime; with 302&times;302 pixel resolution, 2.5D curved glass</li>
<li>Battery: 225 mAh. Charging time 2 hours.</li>
<li>Autonomy declared: 9 days</li>
<li>Compatibility: Android (5.0+) and iOS (10.0+) via Zepp app</li>
<li>Operating System: RTOS</li>
<li>Connectivity: Bluetooth 5.0</li>
<li>Weight: 31g (with strap)</li>
<li>Dimensions: 40.9 x 35.5 x 11.4mm</li>
<li>Blood oxygen level measurement</li>
<li>Stress level measurement</li>
<li>Sleep quality monitoring</li>
<li>24-hour heart rate monitoring</li>
<li>Tracking over 60 sports activities</li>
<li>Menstrual cycle tracking</li>
<li>Remote control smartphone camera</li>
<li>Alarm, notification, and weather management</li>
<li>Water resistance: 5ATM (what does it mean)</li>
<li>Strap: rubbe</li>
</ul>",,,,,,
nazatelectronics1,Amazfit Bip U Pro Smart Watch Global Version,Piece,1,xiaomi,electronic-accessori,wearable,,5450,0,,,,,,10,,10080,50,50,100,,active,"<ul>
<li>Connectivity Technology: Bluetooth</li>
<li>Operating System: Amazfit OS</li>
<li>Band Color: Black</li>
<li>Human Interface Input: Touchscreen</li>
<li>Screen Size: 1.43 Inches</li>
<li>Water Resistance Level: Water-Resistant</li>
<li>Warranty: 12 Months Brand Warranty (One-time replacement in whole warranty period).</li>
</ul>",,,,,,
