business,name,per_unit_value,unit,brand,category,sub_category,sub_category2,vendor_price,price,is_offer_enable,offer_price,featured_image,short_resolation_image,type,keywords,alert_quantity,sku,delivery_time,status,enable_stock,current_stock,description,shipping_charge,image1,image2,image3,image4,image5,image6
squarefood&beverageltd.,Radhuni Coriander Powder-200gm,1,Packet,radhuni,groceries,cooking-items,spices,55,  63 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"<p>Radhuni Coriander Powder</p>
<p>RADHUNI Coriander Powder has the distinct flavor and fragrance of coriander for your delicious preparations.</p>",,,,,,,
squarefood&beverageltd.,Radhuni Coriander Powder (Pet Jer)-200gm,1,Packet,radhuni,groceries,cooking-items,spices,70,  80 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"<p>Radhuni Coriander Powder</p>
<p>RADHUNI Coriander Powder has the distinct flavor and fragrance of coriander for your delicious preparations.</p>",,,,,,,
squarefood&beverageltd.,Radhuni Coriander Powder-500gm,1,Packet,radhuni,groceries,cooking-items,spices,128,  145 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"<p>Radhuni Coriander Powder</p>
<p>RADHUNI Coriander Powder has the distinct flavor and fragrance of coriander for your delicious preparations.</p>",,,,,,,
squarefood&beverageltd.,Radhuni Coriander Powder-1kg,1,Packet,radhuni,groceries,cooking-items,spices,245,  275 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"<p>Radhuni Coriander Powder</p>
<p>RADHUNI Coriander Powder has the distinct flavor and fragrance of coriander for your delicious preparations.</p>",,,,,,,
squarefood&beverageltd.,Radhuni Cumin Powder-15gm,1,Packet,radhuni,groceries,cooking-items,spices,13,  15 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"<ul>
<li>Brand: Square.</li>
<li>Net Weight: 15gm.</li>
<li>Good quality product.</li>
</ul>",,,,,,,
squarefood&beverageltd.,Radhuni Cumin Powder-50gm,1,Packet,radhuni,groceries,cooking-items,spices,43,  48 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"<ul>
<li>Brand: Square.</li>
<li>Net Weight: 50gm.</li>
<li>Good quality product.</li>
</ul>",,,,,,,
squarefood&beverageltd.,Radhuni Cumin Powder-100gm,1,Packet,radhuni,groceries,cooking-items,spices,79,  88 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"<ul>
<li>Brand: Square.</li>
<li>Net Weight: 100gm.</li>
<li>Good quality product.</li>
</ul>",,,,,,,
squarefood&beverageltd.,Radhuni Cumin Powder-200gm,1,Packet,radhuni,groceries,cooking-items,spices,154,  170 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"<ul>
<li>Brand: Square.</li>
<li>Net Weight: 200gm.</li>
<li>Good quality product.</li>
</ul>",,,,,,,
squarefood&beverageltd.,Radhuni Cumin Powder (Pet Jer)-200gm,1,Packet,radhuni,groceries,cooking-items,spices,160,  175 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"<ul>
<li>Brand: Square.</li>
<li>Net Weight: 200gm.</li>
<li>Good quality product.</li>
</ul>",,,,,,,
squarefood&beverageltd.,Radhuni Cumin Powder-500gm,1,Packet,radhuni,groceries,cooking-items,spices,363,  400 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"<ul>
<li>Brand: Square.</li>
<li>Net Weight: 500gm.</li>
<li>Good quality product.</li>
</ul>",,,,,,,
squarefood&beverageltd.,Radhuni Cumin Powder-1kg,1,Packet,radhuni,groceries,cooking-items,spices,750,  795 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"""<ul>
<li>Brand: Square.</li>
<li>Net Weight: 1kg.</li>
<li>Good quality product.</li>
</ul>""",,,,,,,
squarefood&beverageltd.,Radhuni Panchforan - Whole-50gm,1,Packet,radhuni,groceries,cooking-items,spices,20,  22 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"<ul>
<li>Product Type: Panchforan.</li>
<li>Weight: 50gm.</li>
<li>Fresh Product.</li>
<li>Processed and packaged with direct supervision.</li>
</ul>",,,,,,,
squarefood&beverageltd.,Radhuni Panchforan - Powder-50gm,1,Packet,radhuni,groceries,cooking-items,spices,19,  22 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"<ul>
<li>Product Type: Panchforan.</li>
<li>Weight: 50gm.</li>
<li>Fresh Product.</li>
<li>Processed and packaged with direct supervision.</li>
</ul>",,,,,,,
squarefood&beverageltd.,Radhuni Powdered Panchforan-Sylheti Mix-15gm,1,Packet,radhuni,groceries,cooking-items,ready-mix,6,  8 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"<ul>
<li>Product Type: Panchforan.</li>
<li>Weight: 15gm.</li>
<li>Fresh Product.</li>
<li>Processed and packaged with direct supervision.</li>
</ul>",,,,,,,
squarefood&beverageltd.,Radhuni Powdered Panchforan-Sylheti Mix-50gm,1,Packet,radhuni,groceries,cooking-items,ready-mix,17,  20 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"""<ul>
<li>Product Type: Panchforan.</li>
<li>Weight: 50gm.</li>
<li>Fresh Product.</li>
<li>Processed and packaged with direct supervision.</li>
</ul>""",,,,,,,
squarefood&beverageltd.,Radhuni Garam Masala-15gm,1,Packet,radhuni,groceries,cooking-items,ready-mix,24,  28 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"<ul>
<li>Product Type: Garam Masala</li>
<li>Brand: Radhuni</li>
<li>Size: 15gm</li>
</ul>",,,,,,,
squarefood&beverageltd.,Radhuni Garam Masala-40gm,1,Packet,radhuni,groceries,cooking-items,ready-mix,60,  68 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"<ul>
<li>Product Type: Garam Masala</li>
<li>Brand: Radhuni</li>
<li>Size: 40gm</li>
</ul",,,,,,,
