,name,unit,per_unit_value,brand,category,sub_category,sub_category2,vendor_price,price,is_offer_enable,offer_price,featured_image,short_resolation_image,type,keywords,alert_quantity,slug,sku,delivery_time,status,enable_stock,current_stock,description,shipping_charge,image1,image2,image3,image4,image5,image6
sevendaysnotes,New Year 2020 Notebook SN20191210,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,100,120,0,,,,,"home-&-decor,home-&-decor",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Memo Book White Double-O Ring Notebook,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,100,120,0,,,,,"home-&-decor,home-&-decor",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Memo Book Silver Double-O Ring Notebooks,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,100,120,0,,,,,"home-&-decor,home-&-decor",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Memo Book Black Double-O Ring Notebook,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,100,120,0,,,,,"home-&-decor,home-&-decor",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Memo Book Black & White Double-O Ring Notebook ,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,199,240,0,,,,,"home-&-decor,home-&-decor",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Memo Book White & Silver Double-O Ring Notebook ,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,199,240,0,,,,,"home-&-decor,home-&-decor",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Memo Book Black & Silver Double-O Ring Notebook 2-Pack,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,199,240,0,,,,,"home-&-decor,home-&-decor",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Memo Book White Black & Silver Double-O Ring Notebook ,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,299,360,0,,,,,"home-&-decor,home-&-decor",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Pocket Series Black Notebook,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,62,75,0,,,,,"home-&-decor,home-&-decor",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Pocket Series White Notebook,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,62,75,0,,,,,"home-&-decor,home-&-decor",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Pocket Series Kraft Notebook,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,62,75,0,,,,,"home-&-decor,home-&-decor",10,,,10080,active,1,100,,,,,,,,
