business,name,unit,per_unit_value,brand,category,sub_category,sub_category2,vendor_price,price,is_offer_enable,offer_price,featured_image,short_resolation_image,type,keywords,alert_quantity,slug,sku,delivery_time,current_stock,status,enable_stock,description,shipping_charge,image1,image2,image3,image4,image5,image6
liteelectronicsltd,MI Portable Speaker,Piece,1,xiaomi,electronic-accessori,audio,,765,995,0,,,,,"electronic-accessori,audio",5,,,,100,active,1,"<p>Exquisitely designed to fit in your palm
A perfect balance: small in size big on sound
Full metal casing dressed in 2 classic colors.
Mi Bluetooth Speaker Mini is seamlessly and elegantly designed with both the power button and the micro USB charging port neatly tucked at the bottom</p>",,,,,,,
liteelectronicsltd,Mi 360° WiFi Security Camera (1080p) - White,Piece,1,xiaomi,electronics,security-cameras,,2600,3200,0,,,,,"electronic-accessori,security-cameras",5,,,,100,active,1,"<p>Details
 
Xiaomi 360 Degree WiFi IP Camera in Bangladesh
Xiaomi Mijia Smart 1080P WiFi IP camera Pan-tilt version you can sleep soundly! The built-in 8pcs 940nm IR-cut LEDs and quiet motor enable this surveillance camera to capture clear night vision images up to 9 meters distance silently. Besides the rotatable design of the IP camera makes it capable of monitoring a wider range in the horizontal and vertical direction via the APP control. What is more the concealed TF card slot provides not only a beautiful and integrated appearance but also a convenient storage method for you! Now this camera is available in Bangladesh @ BDSHOP.COM

Mi 360 Degree IP Camera

Specification:
Brand: Xiaomi
Model: MiJia Pan-tilt Version
Shape Mini Camera
Technical Feature: WiFi Infrared Pan Tilt Zoom
IP camera performance Remote ControlMotion DetectionNight VisionInterphone
Motion Detection Distance 9m
Compatible Operation Systems: Android IOS
APP: Mi Home
APP Language: English Chinese
Connection Wireless
Interface Micro USB
Features: HD
Maximum Monitoring Range: 110 degree
Working Voltage 5V / 2A
Package Contents
IP Camera
USB Cable
Wall Bracket
Screw
Screw Cap
Chinese User Manual</p>",,,,,,,
liteelectronicsltd,Mi WiFi Router 4C 300Mbps,Piece,1,xiaomi,electronic-accessori,router,,1100,1590,0,,,,,"electronic-accessori,router",5,,,,100,active,1,"<p>22.4 GHz Wi-Fi with up to 300Mbps Speed Ideal for video streaming and web browsing. ROM : 16MB Nor Flash. Management application : Supports web iOS and Android
4 High-performance antenna for better speed & coverage
Control your network from Anywhere Anytime with help of Mi Wi-Fi app
QoS (Quality of Service) Manage and allocate bandwidth as per activity requirements
Parental Control-Control time on internet and content on connected devices
Improve network speed with Wi-Fi optimization
Coverage Area: up to 400 Sqft
Suitable for 2-4 Devices. Reception sensitivity : 11Mbps: ? -85dBm 54Mbps: ? -72dBm HT20 MCS7: ? -69dBm HT40 MCS7: ? -66dBm
Brand ?MI
Manufacturer ?Hulzhou MTNWEIYE Technology Development Co. LTD
Colour ?White
Item Height ?29 Centimeters
Item Width ?5.5 Centimeters
Product Dimensions ?20 x 5.5 x 29 cm; 460 Grams
Item model number ?R4CM
Connectivity Type ?Wi-Fi
Wireless Type ?802.11n 2.4 GHz Radio Frequency
Operating System ?Windows
Included Components ?Router adaptor user manual
Manufacturer ?Hulzhou MTNWEIYE Technology Development Co. LTD
Country of Origin ?China
Item Weight ?460 g</p>",,,,,,,
liteelectronicsltd,Mi WiFi Router 4A AC1200 Dual Band_L,Piece,1,xiaomi,electronic-accessori,router,,1800,2290,0,,,,,"electronic-accessori,router",5,,,,100,active,1,"<p>Brand: Xiaomi
• Type: Router
• Interface: LANWAN
• Router Connectivity Type: EthernetWireless
• Transmission Rate: 1167Mbps
• Speed of Ethernet Port: 1000Mbps
• Network Protocols: IEEE 802.11aIEEE 802.11acIEEE 802.11b
• IEEE 802.11gIEEE 802.11nIEEE 802.3IEEE 802.3UIPv6
• Wireless Standard: Wireless AC
• Wireless Security: WPA-PSKWPA2-PSK
• WiFi Network Frequency: 2.4GHz5GHz
• LAN Ports: 2 ports
• Max. LAN Data Rate: 1000Mbps
• Network Communication: WiFi
• Features: Dual Band
• Usage: Home use</p>",,,,,,,
liteelectronicsltd,Mi Router 4A Giga Version (White),Piece,1,xiaomi,electronic-accessori,router,,2340,2850,0,,,,,"electronic-accessori,router",5,,,,100,active,1,"<p>Key Features
Data Rate
1000Mbps
Antenna
4
Button
Reset Button
Frequency
2.4 GHz and 5GHz
Wireless
Wireless Standard: Wireless AC
WiFi Network Frequency: 2.4GHz5GHz
Interface
LANWAN
Network Standard
IEEE 802.11aIEEE 802.11acIEEE 802.11b
IEEE 802.11gIEEE 802.11nIEEE 802.3IEEE 802.3UIPv6
Encryption
WPA-PSKWPA2-PSK
Ports
LAN Ports: 2 ports (Gigabit port)
Others
Transmission Rate: 1167Mbps
Speed of Ethernet Port: 1000Mbps
Physical Dimension
Dimension
20.10 x 17.40 x 12.20 cm
Weight
240 g
Color
White</p>",,,,,,,
liteelectronicsltd,Mi Smart  Scale 2,Piece,1,xiaomi,electronic-accessori,bathroom-scales,,1780,2150,0,,,,,"electronic-accessori,bathroom-scales",5,,,,100,active,1,"<p>Xiaomi Mijia Smart Weight Scale 2 LED Display
Bluetooth: 5.0
Type: Intelligent Weigh Scale
Feature: High-precision
Compatible with: Android IOS
Glass Material: Tempered Glass
Body Material: ABS
Weight Range: 100g – 150kg
Power Supply: 4 x 1.5V AAA Battery (included)
G-shaped sensor 50g can be perceived.
Highly accurate BIA chip for easy control of body fat percentage.
Balance test closed eyes and one foot are available.
Low-power Bluetooth 5.0 4 batteries can be used for 12 months.
Binding the millet sports app reducing fat and shaping the body with half the effort.
Simple design simple and clean exquisite and beautiful</p>",,,,,,,
liteelectronicsltd," Mi Electric Kettle1.5L
",Piece,1,xiaomi,electronic-accessori,electric-kettle,,2400,2790,0,,,,,"electronic-accessori,electric-kettle",5,,,,100,active,1,"<p>Product Type: Kettle
304 Stainless Steel Inner Layer : Standard food-grade stainless steel rust-free anti-scaling odorless easy to clean
1.5L Large Capacity : One boiling can meet a family drink for multiple members no need to boil water frequently
Anti-scalding Double Layers : With the hollow insulation layer between inner and outer layer it provides more heat insulation to protect you from scalding
Superior STRIX Temperature Control : Precise temperature control guarantees a full boiling and longer lifespan
Two Stage Damping Uncap Design : Press the lid-opening button the lid is automatically opened at 30-degree angle without hot drops spattered which stops the splashes from scalding you
Triple Security Protection : Prevent electric shock no electric leakage and auto shutdown while dry operation and boiling
Seamless Uni-body Design : Easy to clean say goodbye to the inside dirt
Visible LED Indicator Light : Convenient to follow up the water heating process
Considerate Cord Storage : Easy to tidy up the over-length power cord twinning at the bottom of main base
6 months warrantyl</p>",,,,,,,
liteelectronicsltd,MI Smart Mask L,Piece,1,xiaomi,health-and-beauty-1,musk,,290,360,0,,,,,"electronic-accessori,musk",5,,,,100,active,1,"<p>Product Type: Face Mask
Introducing the SmartMi KN95 free-breathing anti haze face mask. In the current climate for many people having a face covering of some form will bring a degree of reassurance. The SmartMi KN95 face mask is in itself a very special anti-pollution mask that also gives off an element of style. 
It is reusable and designed for comfortable long term wear. We suggest wearing for no longer than 10 hours in a single-use. You will find the longer you wear the SmartMi KN95 face mask the more comfortable it becomes. 
This is because of the special TPU memory elastic material which is integrated with sponge foam. After a short time of wearing the mask becomes adaptive to your natural facial contours. 
One of the downfalls of typical face masks is that they can severely impact normal breathing. This is due to the limited space within and external pressure on the outside of the mask. The Smart Mi KN95 features a specially designed 3D skeletal structure which prevents deformation and provides up to 200 cm3 of breathing space. This Product has no warranty</p>""

",,,,,,,
liteelectronicsltd,MI Smart Mask M,Piece,1,xiaomi,electronic-accessori,musk,,290,360,0,,,,,"electronic-accessori,musk",5,,,,100,active,1,"<p>MPN: QHXFMKZ/01ZM
Model: Xiaomi Mi Smart KN95
Over 97% Filtration Efficiency
Lightweight
Breathe Easy
Anti-Pollution Filterr</p>",,,,,,,
liteelectronicsltd,Bip U - Black,Piece,1,amazfit,electronic-accessori,smart-watches,,4150,4890,0,,,,,"electronic-accessori,smart-watches",5,,,,100,active,1,"<p>Amazfit Bip U Smart Watch (Global Version) – Black
1.43? LARGE HD DISPLAY
Amazfit Bip U has a customized 1.43? hd stylish square screen which offers a larger display area than a round watch face of the same width so it can carry more information.

LONG 9-DAY BATTERY LIFE
This smartwatch deeply optimizes the power consumption of the components to bring long-lasting endurance of 7 days while keeping a slim watch body which enables you to avoid frequent charges.

MORE HEALTH METRICS
The Amazfit Bip U fitness smartwatch precise optical monitoring allows you to accurately track heart rate blood oxygen levels stress levels breathing quality of sleep and sleeping patterns.

SUPER LIGHWEIGHT DESIGN
Amazfit Bip U only weigh about 31 grams. an ultra-light design you can barely feel when striving for peak performance.

WOMEN’S HEALTH TRACKING
With the female period tracking system bip u records and predicts the female menstrual cycle and send smart notifications reminders.</P>",,,,,,,
