business,name,unit,per_unit_value,brand,category,sub_category,sub_category2,Vendor_Price,price,is_offer_enable,offer_price,featured_image,short_resolation_image,type,keywords,alert_quantity,sku,delivery_time,current_stock,enable_stock,shipping_charge,status,description,image1,image2,image3,image4,image5,image6
gqenterprise,Econo Trendy Pen,Piece,10,econo,groceries,stationery-and-craft,,40,50,0,,,,,,5,,,100,1,,active,"<ul>
  <li>Brand: Econo.</li>
  <li>Product type: Pen.</li>
  <li>Quantity: 10pcs.</li>
  <li>Cap shape: Attractive cap.</li>
  <li>Flexibility: Easy to grip.</li>
  <li>Writing attribute: Smooth.</li>
  <li>Ink color: Black.</li>
  <li>Body Color: Multicolor.</li>
  <li>Shiny white colored body.</li>
  <li>Sleek, clean look.</li>
  <li>Smooth writing.</li>
</ul>",,,,,,
gqenterprise,Econo Student XL,Piece,10,econo,groceries,stationery-and-craft,,48,60,0,,,,,,5,,,100,1,,active,"<ul>
  <li>Brand: Econo.</li>
  <li>Product type: Pen.</li>
  <li>Quantity: 10pcs.</li>
  <li>Cap shape: Attractive cap.</li>
  <li>Flexibility: Easy to grip.</li>
  <li>Writing attribute: Smooth.</li>
  <li>Ink color: Black.</li>
  <li>Body Color: Multicolor.</li>
  <li>DF pen brand popular among the students for its extra-large body.</li>
  <li>Colorful body, smooth &amp; ensures long time writing.</li>
</ul>",,,,,,
gqenterprise,Econo Castle Pencil Pen (Black body),Piece,20,econo,groceries,stationery-and-craft,,68,100,0,,,,,,5,,,100,1,,active,"<ul>
  <li>Econo Castle Pencil Ball Pen (Black Body) – 20 Pieces.</li>
  <li>Brand: Econo.</li>
  <li>Product Type: Pen.</li>
  <li>DF pen, gives an impression of a pencil.</li>
  <li>Quantity: 20 Pieces.</li>
  <li>Cap Shape: Attractive cap.</li>
  <li>Flexibility: Easy to grip.</li>
  <li>Writing Attribute: Smooth.</li>
  <li>Ink Color: Black.</li>
  <li>Body Color: Multicolor.</li>
</ul>",,,,,,
gqenterprise,Econo Castle Coler Pen  (Multi body),Piece,20,econo,groceries,stationery-and-craft,,68,100,0,,,,,,5,,,100,1,,active,"<ul>
  <li>Brand: Econo.</li>
  <li>Product type: Pen.</li>
  <li>Quantity: 20pcs.</li>
  <li>Cap shape: Attractive cap.</li>
  <li>Flexibility: Easy to grip.</li>
  <li>Writing attribute: Smooth.</li>
  <li>Ink color: Black, Blue, Red.</li>
  <li>Body Color: Multicolor.</li>
</ul>",,,,,,
gqenterprise,Econo Officemate,Piece,10,econo,groceries,stationery-and-craft,,30,40,0,,,,,,5,,,100,1,,active,"<ul>
  <li>Light weight refill pen</li>
  <li>Yellow body with black colored cap and end plug</li>
  <li> 0.8mm Swiss tip, made of brass for thick writing</li>
  <li>Popular in filling the OMR forms in different exams and club games</li>
  <li>Long lasting</li>
  <li>Econo Office Mate Pen</li>
  <li>Product type: Pen</li>
  <li>Quantity: 10 pieces</li>
</ul>",,,,,,
gqenterprise,Econo 786 Ball Pen,Piece,10,econo,groceries,stationery-and-craft,,48,60,0,,,,,,5,,,100,1,,active,"<ul>
  <li>Econo 786 Ballpen Multicolor Body - (10 Pieces).</li>
  <li>Excellent design.</li>
  <li>Attractive Body Color.</li>
  <li>Available body color in Black, Blue, Green, red.</li>
  <li>Smooth handwriting.</li>
  <li>Oil-based High Quality imported gel ink.</li>
  <li>Super-soft grip for ultra-comfort.</li>
  <li>TC Ball: 0.7 mm.</li>
  <li>Tip: 7.5 mm.</li>
</ul>",,,,,,
gqenterprise,Krispy Curl Chips - 10 gm,Piece,1,krispy-curl,groceries,snacks-and-instant-food,chips-and-pretzels,4,5,0,,,,,,5,,,100,1,,active,"<ul>
  <li>Product Types: Curl Chips</li>
  <li>Weight:10gm</li>
  <li>Imported Corn Grits and Spices</li>
  <li>Popular among the students for adda and as tea time snacks.</li>
</ul>",,,,,,
gqenterprise,Krispy Curl Chips - 20 gm,Piece,1,krispy-curl,groceries,snacks-and-instant-food,chips-and-pretzels,8,10,0,,,,,,5,,,100,1,,active,"""<ul>
  <li>Product Types: Curl Chips</li>
  <li>Weight:20gm</li>
  <li>Imported Corn Grits and Spices</li>
  <li>Popular among the students for adda and as tea time snacks.</li>
</ul>""",,,,,,
gqenterprise,Krispy Thinos Chips- 20 gm,Piece,1,krispy-curl,groceries,snacks-and-instant-food,chips-and-pretzels,8,10,0,,,,,,5,,,100,1,,active,"<ul>
  <li>Product Types:Krispy Thinos Chips</li>
  <li>Weight:20gm</li>
  <li>Imported Corn Grits and Classic flavour</li>
  <li>Soft spicy and classic flavor crispy Snacks.</li>
  <li>Most popular among the students</li>
</ul>",,,,,,
gqenterprise,Krispy Hot Fingers Chips- 20 gm,Piece,1,krispy-curl,groceries,snacks-and-instant-food,chips-and-pretzels,8,10,0,,,,,,5,,,100,1,,active,"<ul>
  <li>Product Type: Chips.</li>
  <li>Weight: 20gm.</li>
  <li>Corn Grits and Spices.</li>
  <li>Hot and spicy for the masala lovers.</li>
</ul>",,,,,,
gqenterprise,Krispy Potato Chips - 20 gm,Piece,1,krispy-curl,groceries,snacks-and-instant-food,chips-and-pretzels,8,10,0,,,,,,5,,,100,1,,active,"<ul>
  <li>Product Types:Krispy Potato Chips</li>
  <li>Weight:20gm</li>
  <li>Potato and Spices</li>
  <li>Hot and spicy for the masala lovers</li>
</ul>",,,,,,
